"Dates","Category","Descript","DayOfWeek","PdDistrict","Resolution","Address","X","Y"
"2013-10-14 11:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Monday","SOUTHERN","NONE","800 Block of BRYANT ST",-122.403404791479,37.775420706711
"2013-10-14 08:00:00","WARRANTS","WARRANT ARREST","Monday","PARK","ARREST, BOOKED","500 Block of BUENAVISTAWEST AV",-122.443194351845,37.7665428336293
"2013-10-14 06:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Monday","INGLESIDE","NONE","1700 Block of SUNNYDALE AV",-122.417107986993,37.7122561827524
"2013-10-14 00:59:00","VANDALISM","MALICIOUS MISCHIEF, BREAKING WINDOWS","Monday","BAYVIEW","NONE","0 Block of NORTHRIDGE RD",-122.375512968635,37.730806609582
"2013-10-06 23:30:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Sunday","BAYVIEW","NONE","400 Block of SWEENY ST",-122.413416707047,37.7314351210419
"2013-10-06 22:36:00","WARRANTS","WARRANT ARREST","Sunday","CENTRAL","ARREST, BOOKED","LARKIN ST / GEARY ST",-122.418090766692,37.7861007451645
"2013-10-06 22:10:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Sunday","MISSION","NONE","1800 Block of MISSION ST",-122.419832890144,37.7674625261825
"2013-10-06 22:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Sunday","PARK","NONE","1400 Block of 5TH AV",-122.461903214937,37.7614100673568
"2013-10-06 18:48:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Sunday","BAYVIEW","ARREST, BOOKED","600 Block of JAMESTOWN AV",-122.387833652325,37.7131072321423
"2013-10-06 18:20:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Sunday","RICHMOND","DISTRICT ATTORNEY REFUSES TO PROSECUTE","3900 Block of CLAY ST",-122.458201542501,37.787608032443
"2013-10-06 18:15:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Sunday","SOUTHERN","COMPLAINANT REFUSES TO PROSECUTE","1000 Block of MARKET ST",-122.411339562557,37.7812707434494
"2013-10-06 10:30:00","WARRANTS","WARRANT ARREST","Sunday","MISSION","ARREST, BOOKED","14TH ST / HARRISON ST",-122.413398253422,37.7686709269248
"2013-10-06 10:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Sunday","RICHMOND","NONE","2100 Block of DIVISADERO ST",-122.440823440161,37.7894280381543
"2013-10-06 10:00:00","VANDALISM","MALICIOUS MISCHIEF, BREAKING WINDOWS","Sunday","RICHMOND","NONE","500 Block of 19TH AV",-122.478029353113,37.7775113565996
"2013-10-06 09:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Sunday","BAYVIEW","NONE","1300 Block of 25TH ST",-122.392151648244,37.7525191139159
"2013-10-06 00:22:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Sunday","CENTRAL","ARREST, BOOKED","BROADWAY ST / COLUMBUS AV",-122.406669739951,37.7978641744394
"2013-10-05 23:58:00","WARRANTS","WARRANT ARREST","Saturday","TENDERLOIN","ARREST, BOOKED","LEAVENWORTH ST / EDDY ST",-122.414242955907,37.7837240254478
"2013-10-05 19:00:00","VANDALISM","MALICIOUS MISCHIEF, BREAKING WINDOWS","Saturday","MISSION","NONE","2700 Block of 19TH ST",-122.409529449526,37.7605683690916
"2013-10-05 18:30:00","VANDALISM","MALICIOUS MISCHIEF, TIRE SLASHING","Saturday","TARAVAL","NONE","2400 Block of 15TH AV",-122.471359190111,37.7422906550671
"2013-10-05 17:45:00","VANDALISM","MALICIOUS MISCHIEF, BREAKING WINDOWS","Saturday","CENTRAL","NONE","0 Block of SUTTER ST",-122.400344691288,37.7902143401629
"2013-10-05 17:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Saturday","INGLESIDE","NONE","200 Block of HAHN ST",-122.416700898623,37.7101932992299
"2013-10-05 16:12:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Saturday","INGLESIDE","NONE","700 Block of ELLSWORTH ST",-122.416517427405,37.7330103867416
"2013-10-05 16:08:00","WARRANTS","WARRANT ARREST","Saturday","INGLESIDE","ARREST, BOOKED","400 Block of ANDERSON ST",-122.415213479177,37.7377808451276
"2013-10-05 15:37:00","WARRANTS","ENROUTE TO U.S. MARSHALL","Saturday","NORTHERN","ARREST, BOOKED","700 Block of POLK ST",-122.41925042197,37.7838069204559
"2013-10-05 14:30:00","WARRANTS","WARRANT ARREST","Saturday","TENDERLOIN","ARREST, BOOKED","100 Block of OFARRELL ST",-122.407244087032,37.7865647607685
"2013-10-05 11:45:00","WARRANTS","WARRANT ARREST","Saturday","INGLESIDE","ARREST, BOOKED","100 Block of BLYTHDALE AV",-122.420529801066,37.7110023300609
"2013-10-05 07:45:00","WARRANTS","WARRANT ARREST","Saturday","CENTRAL","NONE","600 Block of CALIFORNIA ST",-122.405025778458,37.792508340252
"2013-10-05 07:22:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Saturday","CENTRAL","ARREST, BOOKED","800 Block of MASON ST",-122.410620887065,37.7912145628738
"2013-10-05 06:59:00","WARRANTS","WARRANT ARREST","Saturday","MISSION","ARREST, BOOKED","MISSION ST / 16TH ST",-122.419671780296,37.7650501214668
"2013-10-05 04:39:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Saturday","INGLESIDE","NONE","0 Block of SANTAMARINA ST",-122.421710393408,37.7400173957801
"2013-10-05 03:45:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Saturday","CENTRAL","ARREST, CITED","1600 Block of THE EMBARCADERONORTH ST",-122.410774214375,37.8084350175869
"2013-10-05 02:30:00","VANDALISM","MALICIOUS MISCHIEF, BREAKING WINDOWS","Saturday","RICHMOND","NONE","6100 Block of GEARY BL",-122.485290737594,37.7801886709059
"2013-10-05 00:02:00","WARRANTS","WARRANT ARREST","Saturday","NORTHERN","ARREST, BOOKED","600 Block of LARKIN ST",-122.417594247706,37.7840149232554
"2013-10-04 23:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Friday","SOUTHERN","ARREST, BOOKED","900 Block of MARKET ST",-122.408595110869,37.7837069301545
"2013-10-04 21:50:00","WARRANTS","WARRANT ARREST","Friday","NORTHERN","NONE","WILLOW ST / POLK ST",-122.419274801449,37.7835680535207
"2013-10-04 17:00:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Friday","SOUTHERN","ARREST, BOOKED","16TH ST / RHODEISLAND ST",-122.402687653213,37.7660754132449
"2013-10-04 16:15:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Friday","TENDERLOIN","ARREST, BOOKED","SHANNON ST / OFARRELL ST",-122.412149454601,37.7858923437278
"2013-10-04 14:46:00","WARRANTS","WARRANT ARREST","Friday","SOUTHERN","ARREST, BOOKED","100 Block of 6TH ST",-122.408466556173,37.7807008318778
"2013-10-04 14:06:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Friday","SOUTHERN","ARREST, BOOKED","1000 Block of MARKET ST",-122.411071423064,37.7817511307229
"2013-10-04 12:30:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Friday","RICHMOND","NONE","DIVISADERO ST / SUTTER ST",-122.439874051543,37.7852471617812
"2013-10-04 02:55:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Friday","SOUTHERN","PSYCHOPATHIC CASE","5TH ST / MISSION ST",-122.406481972743,37.7827317884887
"2013-10-04 00:43:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Friday","MISSION","ARREST, BOOKED","24TH ST / MISSION ST",-122.418448186101,37.7522391652625
"2013-10-04 00:05:00","VANDALISM","MALICIOUS MISCHIEF, TIRE SLASHING","Friday","MISSION","NONE","1000 Block of YORK ST",-122.408350538177,37.7552426763858
"2013-10-03 23:55:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Thursday","BAYVIEW","ARREST, BOOKED","0 Block of WHITFIELD CT",-122.381757562453,37.7310148735637
"2013-10-03 23:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Thursday","TARAVAL","NONE","600 Block of IRVING ST",-122.464714929262,37.7640520313658
"2013-10-03 21:09:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Thursday","MISSION","NONE","2000 Block of MISSION ST",-122.41965834371,37.7642205603745
"2013-10-03 20:17:00","WARRANTS","ENROUTE TO DEPARTMENT OF CORRECTIONS","Thursday","TENDERLOIN","ARREST, BOOKED","TURK ST / TAYLOR ST",-122.410768766343,37.7832145190013
"2013-10-03 18:59:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Thursday","TENDERLOIN","ARREST, BOOKED","200 Block of LEAVENWORTH ST",-122.414217804322,37.7832593295025
"2013-10-03 18:07:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Thursday","INGLESIDE","ARREST, BOOKED","300 Block of LONDON ST",-122.434572948036,37.7234968650126
"2013-10-03 15:50:00","WARRANTS","WARRANT ARREST","Thursday","TENDERLOIN","ARREST, BOOKED","300 Block of OFARRELL ST",-122.410509258795,37.7860432222992
"2013-10-03 14:10:00","WARRANTS","ENROUTE TO PAROLE OFFICER","Thursday","SOUTHERN","ARREST, BOOKED","400 Block of MINNA ST",-122.407387172098,37.7810688918781
"2013-10-03 13:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Thursday","CENTRAL","NONE","300 Block of KEARNY ST",-122.404195424821,37.7912255174119
"2013-10-03 12:45:00","VANDALISM","MALICIOUS MISCHIEF, JUVENILE SUSPECT","Thursday","RICHMOND","JUVENILE CITED","600 Block of 32ND AV",-122.491956779206,37.7768766735218
"2013-10-03 12:44:00","WARRANTS","WARRANT ARREST","Thursday","PARK","ARREST, BOOKED","OAK ST / BAKER ST",-122.440737118652,37.7727124660172
"2013-10-03 12:30:00","VANDALISM","MALICIOUS MISCHIEF, GRAFFITI","Thursday","MISSION","JUVENILE ADMONISHED","2300 Block of FOLSOM ST",-122.41469551481,37.7596861764245
"2013-10-03 08:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Thursday","SOUTHERN","NONE","1700 Block of MARKET ST",-122.422188261426,37.7726948236861
"2013-10-03 04:44:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Thursday","BAYVIEW","NONE","1400 Block of 18TH ST",-122.39702544562,37.7626046355798
"2013-10-03 02:45:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Thursday","BAYVIEW","NONE","800 Block of JAMESTOWN AV",-122.391149944463,37.7172230540399
"2013-10-03 00:44:00","WARRANTS","WARRANT ARREST","Thursday","BAYVIEW","ARREST, BOOKED","MARIPOSA ST / ILLINOIS ST",-122.38792119559,37.7643790292129
"2013-10-02 22:00:00","WARRANTS","WARRANT ARREST","Wednesday","SOUTHERN","ARREST, BOOKED","200 Block of SPEAR ST",-122.391683808334,37.7907171916588
"2013-10-02 21:17:00","WARRANTS","WARRANT ARREST","Wednesday","SOUTHERN","ARREST, BOOKED","600 Block of MARKET ST",-122.403246158601,37.7879269004511
"2013-10-02 20:33:00","WARRANTS","WARRANT ARREST","Wednesday","SOUTHERN","ARREST, BOOKED","1200 Block of MARKET ST",-122.415448759562,37.778293520129
"2013-10-02 20:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Wednesday","PARK","NONE","1000 Block of FELL ST",-122.435143522484,37.7744286393494
"2013-10-02 20:00:00","WARRANTS","WARRANT ARREST","Wednesday","TARAVAL","ARREST, BOOKED","1500 Block of SLOAT BL",-122.489713969124,37.7339497680852
"2013-10-02 19:02:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Wednesday","CENTRAL","NONE","700 Block of GEARY ST",-122.415654629547,37.7864672409674
"2013-10-02 19:00:00","VANDALISM","MALICIOUS MISCHIEF, ADULT SUSPECT","Wednesday","TENDERLOIN","ARREST, BOOKED","0 Block of GRANT AV",-122.404997416043,37.7871963336348
"2013-10-02 17:16:00","WARRANTS","WARRANT ARREST","Wednesday","NORTHERN","ARREST, BOOKED","LARKIN ST / HAYES ST",-122.416293820935,37.777493677735
"2013-10-02 15:55:00","VANDALISM","MALICIOUS MISCHIEF, GRAFFITI","Wednesday","SOUTHERN","NONE","0 Block of 8TH ST",-122.413684555167,37.7777984628537
"2013-10-02 15:23:00","WARRANTS","WARRANT ARREST","Wednesday","SOUTHERN","ARREST, BOOKED","900 Block of HOWARD ST",-122.406508487003,37.7803313209065
"2013-10-02 14:02:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Wednesday","TENDERLOIN","ARREST, BOOKED","400 Block of LEAVENWORTH ST",-122.414593831954,37.7851199839553
"2013-10-02 13:30:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Wednesday","INGLESIDE","NONE","0 Block of ANKENY ST",-122.403816989822,37.7186430050308
"2013-10-02 13:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Wednesday","SOUTHERN","NONE","1100 Block of MARKET ST",-122.413564091744,37.779514030063
"2013-10-02 11:59:00","WARRANTS","WARRANT ARREST","Wednesday","MISSION","ARREST, BOOKED","16TH ST / MISSION ST",-122.419671780296,37.7650501214668
"2013-10-02 08:07:00","WARRANTS","ENROUTE TO DEPARTMENT OF CORRECTIONS","Wednesday","SOUTHERN","ARREST, BOOKED","MARKET ST / 7TH ST",-122.412515341356,37.7804777480508
"2013-10-02 07:15:00","WARRANTS","ENROUTE TO DEPARTMENT OF CORRECTIONS","Wednesday","TENDERLOIN","ARREST, BOOKED","300 Block of EDDY ST",-122.412930522059,37.7838344374141
"2013-10-02 00:01:00","WARRANTS","ENROUTE TO DEPARTMENT OF CORRECTIONS","Wednesday","INGLESIDE","ARREST, BOOKED","1600 Block of SUNNYDALE AV",-122.417144802399,37.7121502932531
"2013-10-01 22:57:00","WARRANTS","WARRANT ARREST","Tuesday","SOUTHERN","ARREST, BOOKED","6TH ST / MINNA ST",-122.408162953857,37.7805345385278
"2013-10-01 20:55:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Tuesday","NORTHERN","NONE","1800 Block of FRANKLIN ST",-122.424184369394,37.7915405312675
"2013-10-01 19:15:00","WARRANTS","WARRANT ARREST","Tuesday","CENTRAL","ARREST, BOOKED","WASHINGTON ST / KEARNY ST",-122.404960301641,37.7953262003259
"2013-10-01 14:52:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Tuesday","BAYVIEW","ARREST, BOOKED","WILLIAMS AV / 3RD ST",-122.392625489263,37.7292804432175
"2013-10-01 13:41:00","WARRANTS","WARRANT ARREST","Tuesday","SOUTHERN","ARREST, BOOKED","MASON ST / TURK ST",-122.408953598279,37.783287873572
"2013-10-01 11:43:00","WARRANTS","ENROUTE TO DEPARTMENT OF CORRECTIONS","Tuesday","MISSION","ARREST, BOOKED","16TH ST / MISSION ST",-122.419671780296,37.7650501214668
"2013-10-01 11:30:00","WARRANTS","WARRANT ARREST","Tuesday","BAYVIEW","ARREST, BOOKED","1600 Block of NEWCOMB AV",-122.390153938499,37.7353744438504
"2013-10-01 11:00:00","WARRANTS","WARRANT ARREST","Tuesday","MISSION","ARREST, BOOKED","4200 Block of 18TH ST",-122.436657375769,37.7607356573712
"2013-10-01 04:15:00","PROSTITUTION","LOITERING FOR PURPOSE OF PROSTITUTION","Tuesday","MISSION","ARREST, CITED","SHOTWELL ST / 20TH ST",-122.415781281593,37.7588312134679
"2013-10-01 01:40:00","WARRANTS","WARRANT ARREST","Tuesday","MISSION","ARREST, BOOKED","4000 Block of 18TH ST",-122.433353754785,37.7610427981277
"2013-10-01 01:08:00","WARRANTS","WARRANT ARREST","Tuesday","BAYVIEW","ARREST, BOOKED","HOOPER ST / 8TH ST",-122.40043178907,37.7673012171933
"2013-10-01 00:01:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Tuesday","SOUTHERN","NONE","5TH ST / MINNA ST",-122.405934320038,37.782295644598
"2013-10-01 00:01:00","VANDALISM","MALICIOUS MISCHIEF, GRAFFITI","Tuesday","NORTHERN","NONE","800 Block of OFARRELL ST",-122.418729600557,37.785007503993
"2013-09-30 22:56:00","WARRANTS","WARRANT ARREST","Monday","SOUTHERN","ARREST, BOOKED","6TH ST / MISSION ST",-122.408710606663,37.7809706722053
"2013-09-30 18:55:00","VANDALISM","MALICIOUS MISCHIEF, BREAKING WINDOWS","Monday","BAYVIEW","NONE","1300 Block of REVERE AV",-122.385465040129,37.7290691120698
"2013-09-30 18:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Monday","TARAVAL","NONE","WAWONA ST / 22ND AV",-122.478497499558,37.7373109616566
"2013-09-30 16:23:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Monday","SOUTHERN","ARREST, BOOKED","900 Block of MARKET ST",-122.409708423721,37.7828276498838
"2013-09-30 15:25:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Monday","BAYVIEW","ARREST, BOOKED","700 Block of JERROLD AV",-122.37337604924,37.7297692117678
"2013-09-30 12:04:00","WARRANTS","ENROUTE TO PROBATION OFFICER","Monday","SOUTHERN","ARREST, BOOKED","800 Block of BRYANT ST",-122.403404791479,37.775420706711
"2013-09-30 11:15:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Monday","SOUTHERN","ARREST, BOOKED","6TH ST / MARKET ST",-122.41029351969,37.7822305870036
"2013-09-30 10:53:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Monday","INGLESIDE","ARREST, BOOKED","900 Block of ELLSWORTH ST",-122.416517427405,37.7330103867416
"2013-09-30 08:45:00","WARRANTS","WARRANT ARREST","Monday","SOUTHERN","ARREST, CITED","600 Block of MISSION ST",-122.401692292616,37.7865888590763
"2013-09-30 06:37:00","WARRANTS","WARRANT ARREST","Monday","SOUTHERN","ARREST, BOOKED","1100 Block of MISSION ST",-122.411626152299,37.7785895740312
"2013-09-22 23:20:00","VANDALISM","MALICIOUS MISCHIEF, BREAKING WINDOWS","Sunday","TARAVAL","NONE","2300 Block of IRVING ST",-122.483024483876,37.7632469249956
"2013-09-22 15:58:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Sunday","BAYVIEW","NONE","1400 Block of BANCROFT AV",-122.389966248584,37.7240676313572
"2013-09-22 15:40:00","WARRANTS","WARRANT ARREST","Sunday","TENDERLOIN","ARREST, BOOKED","0 Block of TURK ST",-122.409853729941,37.7833862379382
"2013-09-22 09:56:00","VANDALISM","VANDALISM OR GRAFFITI ON OR WITHIN 100 FT OF HIGHWAY","Sunday","SOUTHERN","NONE","HOWARD ST / 11TH ST",-122.415564465695,37.773099482048
"2013-09-22 09:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Sunday","SOUTHERN","ARREST, BOOKED","800 Block of BRYANT ST",-122.403404791479,37.775420706711
"2013-09-22 09:00:00","WARRANTS","WARRANT ARREST","Sunday","CENTRAL","ARREST, BOOKED","300 Block of POWELL ST",-122.408384275542,37.7878271137225
"2013-09-22 02:35:00","VANDALISM","MALICIOUS MISCHIEF, GRAFFITI","Sunday","CENTRAL","NONE","TAYLOR ST / CALIFORNIA ST",-122.412463308935,37.7916282844068
"2013-09-22 02:04:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Sunday","NORTHERN","NONE","2900 Block of FILLMORE ST",-122.435465929385,37.7966238680231
"2013-09-22 00:30:00","WARRANTS","WARRANT ARREST","Sunday","BAYVIEW","ARREST, BOOKED","3RD ST / LASALLE AV",-122.389865610332,37.7371699446203
"2013-09-21 20:30:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Saturday","TENDERLOIN","NONE","400 Block of TURK ST",-122.416349428183,37.7825569563078
"2013-09-21 19:30:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Saturday","RICHMOND","NONE","200 Block of 3RD AV",-122.461201592755,37.7840072302612
"2013-09-21 17:39:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Saturday","TENDERLOIN","NONE","100 Block of ELLIS ST",-122.409084843173,37.7852796372951
"2013-09-21 16:26:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Saturday","CENTRAL","ARREST, BOOKED","100 Block of JEFFERSON ST",-122.415010032996,37.8083698161391
"2013-09-21 16:08:00","VANDALISM","MALICIOUS MISCHIEF, BREAKING WINDOWS","Saturday","SOUTHERN","NONE","0 Block of STILLMAN ST",-122.395237696668,37.7825710705311
"2013-09-21 14:40:00","WARRANTS","ENROUTE TO PAROLE OFFICER","Saturday","NORTHERN","ARREST, BOOKED","FELL ST / VANNESS AV",-122.419507546169,37.7763700981455
"2013-09-21 12:05:00","WARRANTS","ENROUTE TO DEPARTMENT OF CORRECTIONS","Saturday","SOUTHERN","ARREST, BOOKED","0 Block of DORE ST",-122.413045971966,37.7738617771611
"2013-09-21 07:53:00","WARRANTS","WARRANT ARREST","Saturday","PARK","ARREST, BOOKED","300 Block of LAGUNAHONDA BL",-122.458680189782,37.7481554692332
"2013-09-21 05:09:00","VANDALISM","MALICIOUS MISCHIEF, GRAFFITI","Saturday","TENDERLOIN","NONE","100 Block of POWELL ST",-122.40801449292,37.7859507767613
"2013-09-21 01:40:00","PROSTITUTION","LOITERING FOR PURPOSE OF PROSTITUTION","Saturday","MISSION","ARREST, CITED","900 Block of SOUTH VAN NESS AV",-122.416863555609,37.7579459514924
"2013-09-20 23:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Friday","SOUTHERN","NONE","400 Block of 10TH ST",-122.410443067314,37.7709905424552
"2013-09-20 23:00:00","PROSTITUTION","LOITERING FOR PURPOSE OF PROSTITUTION","Friday","MISSION","ARREST, CITED","400 Block of CAPP ST",-122.417970955091,37.7594884557036
"2013-09-20 20:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Friday","TARAVAL","NONE","1900 Block of 21ST AV",-122.478487751206,37.7513277991734
"2013-09-20 19:50:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Friday","CENTRAL","NONE","PINE ST / QUINCY ST",-122.405444587278,37.7915358966977
"2013-09-20 19:40:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Friday","SOUTHERN","ARREST, BOOKED","0 Block of HAWTHORNE ST",-122.39863943141,37.7852440203445
"2013-09-20 12:45:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Friday","MISSION","NONE","16TH ST / CAPP ST",-122.418701003284,37.7651098786222
"2013-09-20 12:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Friday","TARAVAL","NONE","RIVERA ST / 43RD AV",-122.490950525989,37.7461167662707
"2013-09-20 09:50:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Friday","MISSION","NONE","2000 Block of MARKET ST",-122.426955631709,37.769247063207
"2013-09-20 04:00:00","VANDALISM","MALICIOUS MISCHIEF, GRAFFITI","Friday","CENTRAL","NONE","700 Block of SUTTER ST",-122.41274032268,37.788755110963
"2013-09-20 01:28:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Friday","NORTHERN","ARREST, BOOKED","1000 Block of POLK ST",-122.419812186232,37.7866019512795
"2013-09-20 01:15:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Friday","NORTHERN","ARREST, BOOKED","3100 Block of FILLMORE ST",-122.435889235002,37.7987183534813
"2013-09-20 00:52:00","VANDALISM","MALICIOUS MISCHIEF, BREAKING WINDOWS","Friday","SOUTHERN","NONE","500 Block of MARKET ST",-122.400922955775,37.7897601819924
"2013-09-19 23:45:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Thursday","CENTRAL","ARREST, BOOKED","BEACH ST / STOCKTON ST",-122.410690675854,37.8078911906226
"2013-09-19 18:27:00","WARRANTS","ENROUTE TO PAROLE OFFICER","Thursday","MISSION","ARREST, BOOKED","WIESE ST / 15TH ST",-122.420639833212,37.7666248186782
"2013-09-19 18:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Thursday","MISSION","NONE","17TH ST / NOE ST",-122.432951132198,37.76261907534
"2013-09-19 17:18:00","WARRANTS","WARRANT ARREST","Thursday","INGLESIDE","ARREST, BOOKED","4900 Block of MISSION ST",-122.438695075365,37.7196920262929
"2013-09-19 16:52:00","WARRANTS","WARRANT ARREST","Thursday","MISSION","ARREST, BOOKED","2300 Block of MISSION ST",-122.419196838603,37.7594144253287
"2013-09-19 15:39:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Thursday","INGLESIDE","JUVENILE CITED","1000 Block of CAYUGA AV",-122.440006611531,37.7218048835547
"2013-09-19 12:37:00","WARRANTS","WARRANT ARREST","Thursday","CENTRAL","ARREST, BOOKED","200 Block of POST ST",-122.406021838484,37.7886491245294
"2013-09-19 10:30:00","WARRANTS","WARRANT ARREST","Thursday","BAYVIEW","ARREST, BOOKED","1400 Block of KANSAS ST",-122.402316839735,37.7512533511923
"2013-09-19 06:33:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Thursday","NORTHERN","NONE","1000 Block of STEINER ST",-122.433571772367,37.7788887614902
"2013-09-19 05:09:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Thursday","TENDERLOIN","ARREST, BOOKED","100 Block of LEAVENWORTH ST",-122.414029821727,37.7823291237659
"2013-09-19 01:10:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Thursday","INGLESIDE","ARREST, CITED","0 Block of RAYMOND AV",-122.404306598392,37.7121557428309
"2013-09-19 00:25:00","WARRANTS","WARRANT ARREST","Thursday","NORTHERN","ARREST, BOOKED","400 Block of GROVE ST",-122.423991807272,37.7776523028278
"2013-09-18 23:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Wednesday","TARAVAL","NONE","ARELLANO AV / HOLLOWAY AV",-122.478983576424,37.7208841365184
"2013-09-18 21:58:00","WARRANTS","WARRANT ARREST","Wednesday","MISSION","ARREST, CITED","3300 Block of 23RD ST",-122.419154926676,37.7538579167642
"2013-09-18 21:30:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Wednesday","SOUTHERN","NONE","7TH ST / FOLSOM ST",-122.407844136792,37.7767462195389
"2013-09-18 21:14:00","WARRANTS","ENROUTE TO DEPARTMENT OF CORRECTIONS","Wednesday","NORTHERN","ARREST, BOOKED","1100 Block of LARKIN ST",-122.418580508889,37.7881906054546
"2013-09-18 20:00:00","VANDALISM","MALICIOUS MISCHIEF, TIRE SLASHING","Wednesday","BAYVIEW","NONE","FAIRFAX AV / 3RD ST",-122.388204239979,37.7418910563993
"2013-09-18 15:26:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Wednesday","MISSION","ARREST, BOOKED","24TH ST / MISSION ST",-122.418448186101,37.7522391652625
"2013-09-18 14:37:00","WARRANTS","WARRANT ARREST","Wednesday","CENTRAL","ARREST, BOOKED","SUTTER ST / POWELL ST",-122.408597386677,37.789224205873
"2013-09-18 13:44:00","WARRANTS","PROBATION SEARCH","Wednesday","BAYVIEW","ARREST, BOOKED","200 Block of WESTPOINT RD",-122.378928955993,37.7352990706774
"2013-09-18 12:46:00","PROSTITUTION","PANDERING","Wednesday","MISSION","ARREST, BOOKED","2900 Block of MISSION ST",-122.41814111944,37.749829290906
